idx,algo,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword
242,label,joint military-prosecution investigation team,president pak chong-hui,gen. chong sung-hwa,military prosecution,assassination,assassin kim,concrete evidence,criminal evidence,assassination day,,,,,,,,,,,
243,tfidf,exxon,oil,valdez,cleanup,tanker,hazelwood,salvage,ship,coast guard,guard,exxon valdez,spill,cowper,barrels,wednesday,stricken tanker,sound,water,said,charges
243,label,exxon salvage crews,stricken tanker exxon valdez,criminal charges,massive oil spill,joseph hazelwood,wildlife deaths,cleanup,alaska,,,,,,,,,,,,
244,tfidf,bse,cjd,warhurst,cases,mr warhurst,lancet,people working,dairy,dr,disease,incidence,humans,case,cattle,last year,mr,medical,yesterday,working,yesterday repeated official
244,label,mad cow disease,bse case,cjd cases,bovine spongiform encephalopathy,infectious protein,scientific evidence,public anxiety,causal link,,,,,,,,,,,,
245,tfidf,hurricane,hurricanes,satellite,atlantic,sheets,forecasters,florida,weather,sheets said,one satellite,flights,50s 60s,50s,said,tracking,reconnaissance,atlantic hurricanes,60s,season,keys
245,label,atlantic hurricane season,coastal populations,hurricane reconnaissance flights,air force,forecasters,weather satellite,hurricane hunters,hurricane activity,,,,,,,,,,,,
246,tfidf,drought,went found money,went found,went back track,went back,washington politicians pushed,track billion went,track billion,spread far beyond,spread far,relief measure history,relief measure,pushed largest disaster,pushed largest,press went back,politicians pushed largest,politicians pushed,money spread far,money spread,measure history associated
246,label,disaster relief measure,america,drought,associated press,drought relief program,drought relief bill,,,,,,,,,,,,,,
247,tfidf,navy,jet,pensacola,kasper said,kasper,aircraft,carrier,aircraft carrier,lexington,crash,aboard jet,navy said,flight deck,deck,naval,training,said,mobile,coast guard,aboard
247,label,crash,t-2 buckeye,jet trainer,flight deck,major damage,aircraft carrier lexington,victims,,,,,,,,,,,,,
248,tfidf,diabetes,insulin,diabetics,amylin,type ii diabetes,type ii,ii diabetes,cooper,hormone,ii,disease,type,sunyer,secretion,pi sunyer,pi,pancreases diabetics,pancreases,ii diabetes said,hope develop
248,label,diabetics,amylin,new treatments,pancreatic hormone,american diabetes association,hormone research,disease process,insulin secretion,blood sugar levels,obesity,,,,,,,,,,
249,tfidf,nafta,pact,foes,opposition,nafta foes,nafta czar,czar,trade,brown,us,congressman,mr,nafta us,ms,california,per cent,cent,proponents,campaign,anti nafta
249,label,north american free trade agreement,leading proponents,nafta opponents,free trade pact,anti-nafta crusaders,environmental degradation,massive campaign,american public,fair trade campaign,side agreements,nafta foes,california,,,,,,,,
250,tfidf,astaphan,johnson,olympics,stanozolol,toronto,personal physician,100 meters,said johnson,bought,physician,meters,gold medal,tested,medal,lewis,drugs,newspaper,gold,canada,said
250,label,ben johnson,personal physician,disgraced olympic sprinter,seoul olympics,jamie astaphan,stanozolol use,johnson scandal,banned steroid,olympics gold medal,,,,,,,,,,,
251,tfidf,nafta,perot,debate,mr perot,congressmen,anti nafta,pact,trade,mexicans,mexico,vote,momentum,yesterday,anti,pro nafta,canada mexico,us,mr,meetings,country
251,label,north american free trade agreement,public opinion,pro-nafta forces,debate victory,house vote,trade pact,anti-nafta whip,trade campaign,congressional districts,mexican congress,,,,,,,,,,
252,tfidf,eclipse,sun,finland,joensuu,helsinki,total,total eclipse,cloudy,phase,saturday,solar,total phase,northeast soviet union,northeast soviet,finnish,cloudy weather,soviet,weather,northeast,sun eclipse
252,label,total solar eclipse,solar eclipses,finland,watchers,total phase,observations,special eyeglasses,,,,,,,,,,,,,
253,tfidf,taylor,miss taylor,miss,pneumonia,hospital,doctors,viral pneumonia,viral,room,weir said,weir,viral pneumonia miss,suites,pneumonia miss taylor,pneumonia miss,hospitalization,bacterial pneumonia,sam said,near death,bacterial
253,label,elizabeth taylor,bacterial pneumonia,viral pneumonia,yeast infection,intravenous therapy,st. john's hospital,58-year-old actress,sinus infection,,,,,,,,,,,,
254,tfidf,mr goldwin,goldwin,militia,national guard,1791,right,mr,guard,arms,amendment,second amendment,mason,conscientious,serve militia,second,bear arms,yet mr goldwin,yet mr,today 1791,sufficient condition
254,label,gun control,second amendment,bearing arms,national guard,mr. goldwin,right,,,,,,,,,,,,,,
255,tfidf,air force,shield,desert shield,accidents,williams said,desert,air,force,williams,saudi arabia,saudi,arabia,aircraft,gulf,said air force,flight,said air,said,crashes,reconnaissance
255,label,fatal crashes,u.s. air force war planes,operation desert shield,regular training flight,u.s. aircraft accidents,u.s. air missions,,,,,,,,,,,,,,
256,tfidf,taylor,miss taylor,miss,hospitalized,pneumonia,taylor said statement,miss taylor said,taylor said,remain hospitalized,hospital,health problems,stable,chen sam,chen,sam,problems,st john,health,actress,said statement
256,label,actress elizabeth taylor,miss taylor,pneumonia,st. john's hospital,sinus infection,health problems,,,,,,,,,,,,,,
257,tfidf,aliens,census,illegal aliens,house,house seats,illegal,states,counted,counting,rep,overseas,seats,count,stationed overseas,personnel stationed overseas,personnel stationed,military personnel stationed,south west,military personnel,dymally
257,label,illegal aliens,1990 census,census numbers,house reapportionment,national head count,house seats,census bureau,,,,,,,,,,,,,
258,tfidf,waitz,marathon,wakiihuri,panfil,race,women,finished,winner,finish,since waitz,last american,american,winning,slowest,american women,ikangaa,time,york city marathon,city marathon,finished second
258,label,new york city marathon,winners,foreigners,douglas wakiihuri,wanda panfil,third consecutive marathon victory,,,,,,,,,,,,,,
259,tfidf,pneumonia,taylor,viral pneumonia,viral,hospital,miss taylor,miss,doctors,bacterial pneumonia,near death,bacterial,doctors said,st john,improving,treatment,infection,st,week,condition,death
259,label,elizabeth taylor,miss taylor,recovery,viral pneumonia,yeast infection,bacterial pneumonia,58-year-old actress,st. john's hospital,,,,,,,,,,,,
260,tfidf,term limitation,limitation,term,lawmakers,oklahoma,state,legislative,lobbyists,political,legislators,state lawmakers,vengeance,voters,staffs,every,usually,12 years,state legislatures,legislatures,throw
260,label,term limitations,political institutions,legislative reformers,state legislatures,term-limitation backers,state lawmakers,opposing political coalition,american politics,,,,,,,,,,,,
261,tfidf,eurotunnel,tunnel,rail,link,project,french,british,billion,chunnel,rail link,britain,high speed,passengers,france,speed,shareholders,trains,company,tunnel first,project also
261,label,english channel,contractor dispute,high-speed rail link,chunnel project,chunnel trains,rail tunnels,three-tunnel thoroughfare,budget,easy conduit,investment money,,,,,,,,,,
262,tfidf,johnson,gold,said,flight,toronto,ben,mother,globe,canadians,plane,rodney,steroids,home,sprinter,plaxton,ms rodney,mother home,johnson spent,flight new york,flight new
262,label,ben johnson,canadians,olympic gold medal,sprinter,illegal steroid stanzolol,homecoming,drug test,100-meter dash,disappointment,,,,,,,,,,,
263,tfidf,nafta,investors,inflation,trade,bond,bond yields,markets,yields,prices,share prices,stock,us,clinton,next week,growth,week,vote,congress,president,votes
263,label,north american free trade agreement,president clinton,economic benefits,open trading environment,anti-nafta forces,trade pact,global inflation,international protectionism,investors,,,,,,,,,,,
264,tfidf,earthquake,magnitude,quake,person,earthquakes,new madrid,quakes,madrid,richter scale,richter,fault,recorded,damage,quake magnitude,new madrid fault,madrid fault,scale,moderate,said,said person
264,label,moderate earthquakes,u.s. geological survey,earthquake emergency kits,richter scale,widespread heavy damage,countless earthquake predictions,earthquake center,major earthquake,monitoring equipment,,,,,,,,,,,
265,tfidf,welfare,programmes,reform,welfare reform,clinton,welfare recipients,recipients,mr clinton,people must,mr clinton said,cheque,clinton said,requirement,expanded,training,work,task force,task,promised,must
265,label,welfare reform,welfare programs,bill clinton,president clinton,family support act,social safety net,,,,,,,,,,,,,,
266,tfidf,bank,debt,conable,mr conable,world bank,world,mr,baker,countries,third world,treasury,new,role,world debt,debt relief,commercial bank,loans,commercial,new money,debt problem
266,label,third world debtors,third world debt,world bank president,barber conable,third world debt problem,debt crisis,debt burden,criticism,,,,,,,,,,,,
267,tfidf,bushels,percent,billion bushels,drought,billion,food,crop,usda,production,wheat,year,corn,wilson,percent last,million bushels,wilson said,harvest,percent last year,crops,spring
267,label,deadening drought,annual agriculture department survey,fall corn harvest,higher retail food prices,president reagan,sharp reductions,total U.S. crop production,food production,food price increase,disaster relief bill,,,,,,,,,,
268,tfidf,welfare,oecd,pensions,welfare state,per cent,cent,countries,per,costs,pension,oecd countries,pressures,healthcare,increase,age,welfare spending,growth,unemployment,state,families
268,label,welfare reform,welfare costs,budget deficits,president clinton,healthcare reforms,national welfare systems,,,,,,,,,,,,,,
269,tfidf,shining path,shining,path,guerrillas,killed,rodrigo franco,franco,escobar,dozens peasants,rodrigo,shining path guerrillas,path guerrillas,charges,raids,jungle,ayacucho,peasants,district attorney,command,dozens
269,label,rodrigo franco command,osman morote,property damage,shining path guerrillas,death squad,district attorney carlos escobar,rebel raids,police post,,,,,,,,,,,,
270,tfidf,smith,cooke city,cooke,winter,mrs smith,mrs,silver gate,gate,fire,snow,season,fires,silver,smiths,norum,city,yellowstone,cabins,park,million acres
270,label,new wildfire season,yellowstone national park,forest fires,firefighting efforts,u.s. forest service,unprecedented fire season,yellowstone ecosystem,,,,,,,,,,,,,
271,tfidf,sawyer,52,air force,base,1st,bomber,lt,crashed,air,peck,force base,air force base,1st lt,bailey,plane,force,said,peck said,hartney,debruzzi
271,label,crash,b-52 bomber,training flight,crew members,k.i. sawyer air force base,pilot,,,,,,,,,,,,,,
272,tfidf,tunnel,french,side,british,french side,linkup,machine,workers,britain,eurotunnel,probe,london,europe,drilling,trains,channel,machine french side,machine french,billion,miles
272,label,english channel,first land link,britain,france,chunnel,historic linkup,channel tunnel,tunnel construction,cost overruns,tunnel trains,continental ills,transmanche link,growing unification,,,,,,,
273,tfidf,police,operation rescue,abortion,rescue,operation,anti abortion,brutality,police brutality,civil,aclu,anti,demonstrators,los angeles,angeles,facilities,anti abortion activists,abortion facilities,abortion activists,los,rights
273,label,police brutality,excessive force,serious injury,police abuse,anti-abortion,demonstrations,civil rights demonstrators,,,,,,,,,,,,,
274,tfidf,officers,commission,police,gates,report,chief,chief gates,lapd,community,complaints,department,recommendations,commission recommendations,mayor,chief said,los angeles,angeles,citizens,force,said
274,label,police brutality,rodney king incident,excessive force,brutality complaints,racial bias,lapd officers,los angeles,,,,,,,,,,,,,
275,tfidf,gandhi,india,congress party,party,tamil,hindu,caste,new delhi,delhi,congress,prime minister,janata,prime,minister,bomb,assassination,tigers,tamil nadu,nadu,indira gandhi
275,label,gandhi,india,national parliamentary elections,assassination scene,blast,time bomb,political dynasty,indian politics,new delhi,congress party,,,,,,,,,,
276,tfidf,census,illegal immigrants,immigrants,illegal,bureau,counting,census bureau,counting illegal immigrants,house,counting illegal,legal status,immigration,status,says,constitution,legal,14th amendment,ask,rep,debate
276,label,illegal aliens,1990 census,census bureau,congressional reapportionment,congressional seats,illegal immigrants,congressional campaign,,,,,,,,,,,,,
277,tfidf,bank,mr,countries,development,preston,developing countries,world,developing,mr preston,ebrd,third world,debt,us treasury,private,1980s,says,treasury,investment,lending,middle east
